Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
66;Организационно-массовая работа профсоюзов. Сб. официальных материалов;;1983;Книга;Общественные и гуманитарные науки;Взрослый;-
67;Охрана труда. Справчное пособие для проф.актива;;1985;Книга;Справочник;Взрослый;-
68;Очерки истории идеологической деятельности КПСС.Октябрь 1917 - 1937гг;;1985;Книга;Общественные и гуманитарные науки;Взрослый;-
69;Красный мальчик идет на войну;Пайетта Джан Карло;1988;Книга;Общественные и гуманитарные науки;Взрослый;5-01-00101-0
70;Партийно-политическая работа в Советской Армии и Военно-Морском Флоте;;1982;Книга;Военная;Универсальный;-
71;Ракетный наш дивизион;Пищулин Владимир Павлович;1978;Книга;Военная;Взрослый;-
72;Повелители стратегических;;1972;Книга;Военная;Взрослый;-
73;Справочник экономиста по труду;Поляков Иван Авдеевич;1988;Книга;Справочники;Взрослый;5-282-00560-3
74;Права профсоюзного комитета: Комментарий;;1983;Книга;Общественные и гуманитарные науки;Взрослый;-
75;Производственно-массовая работа профсоюзов;;1985;Книга;Справочники;Взрослый;-
76;Черта;Проскурин Петр Лукич;1972;Книга;Новеллы;Взрослый;-
77;Профактиву об охране труда;;1980;Книга;Общественные и гуманитарные науки;Взрослый;-
78;Профсоюзы Москвы;;1975;Книга;Общественные и гуманитарные науки;Взрослый;-
79;Революционный держите шаг;;1975;Книга;Политика;Взрослый;-
80;Родники победы;;1989;Книга;Военная;Универсальный;-
81;Символы ратной славы;Рощин Лев Васильевич;1984;Книга;Военная;Универсальный;-
82;В.И.Ленин и вопросы литературы;Рюриков Борис Сергеевич;1970;Книга;Литераткроведение;Взрослый;-
83;Город с городом, страна со страной;Самарин Михаил Сергеевич;1983;Книга;Наука. Техника;Универсальный;-
84;Основа боевого союза. Интернационализм как фактор оборонной мощи социалистического содружества;Самойленко Василий Филиппович;1981;Книга;Военная;Универсальный;-
85;Советская интеллигенция и её роль в строительстве коммунизма;;1983;Книга;Политика;Взрослый;-
86;Справочник по сметному делу в строительстве. Ч.1;;1977;Книга;Справочники;Взрослый;-
87;Справочник по сметному делу в строительстве. Ч.2;;1977;Книга;Справочники;Взрослый;-
88;Справочник финансиста;;1990;Книга;Справочники;Взрослый;5-279-00416-2
89;Спутник классного руководителя, январь - июль 1982 г.;;1981;Книга;Педагогика;Взрослый;-
90;27 февраля 1917;Старцев Виталий Иванович;1984;Книга;Историческая;Взрослый;-
91;Статистика сельского хозяйства;;1982;Книга;Справочники;Взрослый;-
92;Адресовано в Москву;Степанов Владлен Николаевич;1987;Книга;Политика;Взрослый;-
93;Страны - члены СНГ;;1992;Книга;Справочники;Взрослый;5-7066-0008-2
94;Наше общее дело;Тихомолов Игорь Андреевич;1983;Книга;Военная;Взрослый;-
95;Труд и заработная плата в СССР;;1989;Книга;Справочники;Взрослый;5-282-00687-1
96;"На пути к московскому ""рабочему союзу""";Угаров Иван Федорович;1985;Книга;Общественные и гуманитарные науки;Взрослый;-
97;Управление предприятием;;1990;Книга;Справочники;Взрослый;5-255-00249-6
98;Управление экономикой;;1986;Книга;Справочники;Взрослый;-
99;Урок дает история;;1989;Книга;Политика;Взрослый;5-250-00682-5
100;Материально-техническое снабжение;Фасоляк Николай Дмитриевич;1985;Книга;Справочники;Взрослый;-
101;Финансовая работа профсоюзов.;;1985;Книга;Справочники;Взрослый;-
102;Организация работы секретаря учреждения;Харрисон Джон;1985;Книга;Учебная литература;Взрослый;-
103;Родина юности;Хён Хыгюн;1974;Книга;Романы;Взрослый;-
104;Знакомьтесь: формовка;Шуляк Валентин Саввович;1984;Книга;Наука. Техника;Взрослый;-
105;В.И.Ленин и художественная литература;Щербина Владимир Родионович;1974;Книга;Литераткроведение;Взрослый;-
106;ЭВМ и КАМАК в научных исследованиях;;1983;Книга;Наука. Техника;Взрослый;-
107;Энергетика СССР в 1986-1990 годах;;1987;Книга;Справочники;Взрослый;-
108;Это есть наш последний и решительный бой! Кн.1;;1987;Книга;Политика;Взрослый;-
109;Это есть наш последний и решительный бой! Кн.2;;1987;Книга;Политика;Взрослый;-
110;Юридический справочник для населения;;1989;Книга;Право;Взрослый;5-7260-0105-2
111;Великая эстафета:Воспоминания.Беседы;Андроников Ираклий Луарсабович;1988;Книга;Искусство. Культура;Детский;5-08-001143-2
117;Актуальные вопросы библиотечной работы. Теория и практика:Сборник;;1984;Книга;Справочники;Детский;-
122;Алгебра и начала анализа:Учеб. Для 10-11 кл. сред. шк.;;1990;Книга;Учебная литература;Детский;5-09-002691-2
123;Алгебра и начала анализа:Проб.учеб. для 10-11 кл. сред. шк.;;1990;Книга;Учебная литература;Детский;5-09-001283-0
124;Алгебра и начала анализа:Проб.учеб. для 10-11 кл. сред. шк.;;1990;Книга;Учебная литература;Детский;5-09-001283-0
125;Алгебра и начала анализа. Учеб. Для 10-11 кл. сред. шк. ;;1991;Книга;Учебная литература;Детский;5-09-003384-6
126;Считаю до трех!;Алмазов Борис Александрович;1981;Книга;Повести. Рассказы;Детский;-
127;Браво, Аракс!;Аронов Александр Борисович;1971;Книга;Повести. Рассказы;Детский;-
128;Созвездие ольшанцев;Архипенко Владимир Кузьмич;1980;Книга;Военная;Детский;-
129;Я - инспектор манежа;Балановский Роберт Михайлович;1972;Книга;Повести. Рассказы;Детский;-
130;Я - инспектор манежа;Балановский Роберт Михайлович;1972;Книга;Повести. Рассказы;Детский;-
131;Избранные статьи;Белинский Виссарион Григорьевич;1970;Книга;Учебная литература;Детский;-
132;Единой боевой семьей;Бельков Олег Алексеевич;1984;Книга;Военная;Детский;-
133;Библиотечно-библиографическая классификация:Табл. для дет. и шк. б-к;;1986;Книга;Справочники;Детский;-
134;Библиотечно-библиографические знания - школьникам:Практ. Пособие;;1989;Книга;Справочники;Детский;5-7000-0087-3
135;Библиотечно-библиографические знания - школьникам:Практ. Пособие;;1989;Книга;Справочники;Детский;5-7000-0087-3
136;Библиотечное дело: Терминол. слов.;;1986;Книга;Справочники;Детский;-
137;Немецкий язык: Учеб. пособие для 7 кл. сред. шк.;Бим Инесса Львовна;1989;Книга;Учебная литература;Детский;5-09-001504-Х
138;Немецкий язык: Учеб. пособие для 7 кл. сред. шк.;Бим Инесса Львовна;1989;Книга;Учебная литература;Детский;5-09-001504-Х
139;Записки укротителя львов;Буслаев Александр Николаевич;1965;Книга;Искусство. Культура;Детский;-
140;Записки укротителя львов;Буслаев Александр Николаевич;1965;Книга;Искусство. Культура;Детский;-
141;Записки укротителя львов;Буслаев Александр Николаевич;1965;Книга;Искусство. Культура;Детский;-
142;Записки укротителя львов;Буслаев Александр Николаевич;1965;Книга;Искусство. Культура;Детский;-
143;В мире русской литературы: Кн. для внеклас. чтения:6 кл.;;1988;Книга;Учебная литература;Детский;5-09000867-1
144;В мире русской литературы: Кн. для внеклас. чтения:6 кл.;;1988;Книга;Учебная литература;Детский;5-09000867-1
145;Жемчужное ожерелье;Варшавский Анатолий Семенович;1975;Книга;Искусство. Культура;Детский;-
146;Рассказы И.С. Тургенева в школе. Пособие для учителя;Воробьев Павел Георгиевич;1968;Книга;Учебная литература;Детский;-
148;Геометрия: учеб. для 7-9 кл. сред. шк.;;1992;Книга;Учебная литература;Детский;5-09-003876-7
