Локальный идентификатор;Наименование;Автор;Год издания;Вид документа;Отрасль знания;Возрастная категория;ISBN
1410;Мой русский стих, живое слово…;Огарев Николай Платонович;1982;Книга;Поэзия;Взрослый;-
1412;Петр Добрынин;Петропавловская Лидия Иосифовна;1974;Книга;История;Взрослый;-
1413;Происшествие в Нескучном саду;;1988;Книга;Художественная литература;Взрослый;-
1414;Физическая география СССР;Раковская Эльвира Мечиславовна;1990;Книга;Учебная литература;Взрослый;5-09-002826-5
1415;Изучаем геометрию;Семенов Ефим Евстафьевич;1987;Книга;Учебная литература;Взрослый;-
1416;Дом большой судьбы;Синютин Михаил Маркович;1982;Книга;История;Взрослый;-
1418;Французский язык:учебное пособие для 8  класса;Слободчиков Владимир Александрович;1999;Книга;Учебная литература;Взрослый;-
1419;Советская литература 50-80-х годов:хрестоматия;;1988;Книга;Учебная литература;Взрослый;5-09-000527-3
1420;Рассказы;Тихонов Николай Семенович;1983;Книга;Художественная литература;Взрослый;-
1421;Октябрь 1917; ;1991;Книга;История;Взрослый;-
1422;Автомобиль ГАЗ-66; ;1974;Книга;Техника;Взрослый;-
1423;Актуальные вопросы библиотечной работы; ;1982;Книга;Культура;Взрослый;-
1426;Библиография; ;1981;Книга;Культура;Взрослый;-
1427;Библиография естественной, научн; ;1971;Книга;Культура;Взрослый;-
1428;Воспоминания о Демьяне Бедном; ;1966;Книга;Литературоведение;Взрослый;-
1429;Воспоминания о Николае Асееве; ;1980;Книга;Литературоведение;Взрослый;-
1430;Георгий Димитров; ;1973;Книга;История;Взрослый;-
1431;И.С.Тургенев в воспоминаниях современников; ;1969;Книга;Литературоведение;Взрослый;-
1432;Информатика; ;1986;Книга;Техника;Взрослый;-
1433;История литературы ФРГ; ;1980;Книга;Литературоведение;Взрослый;-
1434;Карл Маркс; ;1969;Книга;История;Взрослый;-
1435;Карпов Анатолий; ;1984;Книга;Спорт;Взрослый;-
1436;Каталоги и картотеки ЦБС; ;1985;Книга;Культура;Взрослый;-
1437;Католицизм-77; ;1977;Книга;Религия;Взрослый;-
1438;Киев фотоальбом; ;1982;Книга;История;Взрослый;-
1439;Кира Караева.; ;1978;Книга;Искусство;Взрослый;-
1440;Комсомольская песня моя; ;1970;Книга;Искусство;Взрослый;-
1441;Международное космическое; ;1985;Книга;Общественные и гуманитарные науки;Взрослый;-
1442;Московские техникумы лицеи колледжи училища (справочник); ;2004;Книга;Педагогика;Взрослый;-
1443;Основы информатики; ;1988;Книга;Техника;Взрослый;-
1444;Педагогические взгляды и деятельность Н.К. Крупской; ;1964;Книга;Педагогика;Взрослый;-
1445;Песенник 1981; ;1981;Книга;Искусство;Взрослый;-
1446;Песни борьбы и протеста; ;1977;Книга;Искусство;Взрослый;-
1447;Песни Родины моей; ;1988;Книга;Искусство;Взрослый;-
1448;Песня посвящается моя; ;1969;Книга;Искусство;Взрослый;-
1449;Программирование на ФОРТРАНе; ;1990;Книга;Техника;Взрослый;-
1450;Ратмир Холмов; ;1982;Книга;Спорт;Взрослый;-
1451;Ремонт автомобилей; ;1981;Книга;Техника;Взрослый;-
1452;Ремонт автомобиля; ;1981;Книга;Техника;Взрослый;-
1455;Ромашка; ;1989;Книга;Техника;Взрослый;-
1456;Сборник задач по теоретической механике; ;1974;Книга;Естественные науки;Взрослый;-
1457;Сборник упражнений по современному русскому языку; ;1981;Книга;Общественные и гуманитарные науки;Взрослый;-
1458;Теккерей в воспоминаниях современников; ;1990;Книга;Литературоведение;Взрослый;-
1459;Теоретическая механика во ВТУЗах; ;1975;Книга;Естественные науки;Взрослый;-
1460;Теоретические основы электротехники кн.1; ;1976;Книга;Техника;Взрослый;-
1461;Теоретические основы электротехники кн.2; ;1976;Книга;Техника;Взрослый;-
1462;Технический анализ; ;1979;Книга;Естественные науки;Взрослый;-
1463;Художественная гимнастика; ;1973;Книга;Спорт;Взрослый;-
1464;Технология горячей обработки материалов;Адамович Н.А.;1981;Книга;Техника;Взрослый;-
1465;Профилактика алкоголизма;Бабаян Э.А. ;1981;Книга;Медицина;Взрослый;-
1466;Теоретическая механика;Бать М.И.;1966;Книга;Естественные науки;Взрослый;-
1467;Теоретическая механика;Бать М.И.;1966;Книга;Естественные науки;Взрослый;-
1468;Теоретические основы электротехники;Буртаев Ю.В.;1984;Книга;Техника;Взрослый;-
1469;Практикум по программированию на ФОРТРАНЕ;Бухтияров А.М.;1988;Книга;Техника;Взрослый;-
1470;Избранные произведения;Валиханов Ч.;1986;Книга;Наука;Взрослый;-
1471;Лабораторные вопросы по общей и неорганической химии;Васильева З.Г.;1979;Книга;Естественные науки;Взрослый;-
1472;"Автомобиль ""НИВА"" ВАЗ-2121";Вахламов В.К.;1986;Книга;Техника;Взрослый;-
1473;В снегах крайнего юга;Введенский А.;1972;Книга;Естественные науки;Взрослый;-
1474;Физкультура для ослабленных детей;Велитченко В.К.;1986;Книга;Медицина;Взрослый;-
1475;Локаторы здоровья;Вельховер Е.С.;1986;Книга;Медицина;Взрослый;-
1476;Женни Маркс;Виноградская П.;1969;Книга;История;Взрослый;-
1478;Монтаж эксплуатация и ремонт элуктро-оборудования промышленных предприятий и установок;Вишток А.М.;1980;Книга;Техника;Взрослый;-
1479;Лев Платонович Симиренко;Вольвач П.В.;1984;Книга;Сельское хозяйство;Взрослый;-
1480;Организация библиотечных фондов и каталогов;Воронько К.Л.;1981;Книга;Культура;Взрослый;-
1481;Георгий Димитров;Ганчовский Н.;1979;Книга;Общественные и гуманитарные науки;Взрослый;-
1482;Базы данных;Глушаков С.В.;2000;Книга;Техника;Взрослый;-
1483;Лабораторный практикум по химии и технологии кожи и меха;Головтеева А.А.;1987;Книга;Техника;Взрослый;-
1484;Людмила Турищева;Голубев В.;1977;Книга; Спорт;Взрослый;-
1485;Промышленная теплоэнергетика и теплотехника;Голубков Б.Н.;1983;Книга;Техника;Взрослый;-
1486;Сборник задач и упражнений по химии;Гольбрайх З.Е.;1984;Книга;Естественные науки;Взрослый;-
1487;Коричневые ястребы;Горбатенко Д.Д.;1981;Книга;Общественные и гуманитарные науки;Взрослый;-
1488;Доктор;Гордон Р.;1975;Книга;Общественные и гуманитарные науки;Взрослый;-
1489;Природа. Человек. Закон;Городинская В.;1990;Книга;Естественные науки;Взрослый;-
1490;Физическая химия;Горшков В.И.;1986;Книга;Естественные науки;Взрослый;-
1491;Органическая химия;Грандберг И.И.;1980;Книга;Естественные науки;Взрослый;-
1492;Сборник задач по теоретической физики ;Гречко Л.Г.;1985;Книга;Естественные науки;Взрослый;-
1493;Дикое животное и человек;Гржимек Б.;1982;Книга;Естественные науки;Взрослый;-
1494;Наши братья меньшие;Гржимек Б.;1981;Книга;Естественные науки;Взрослый;-
1495;От кобры до медведя гризли;Гржимек Б.;1984;Книга;Естественные науки;Взрослый;-
1496;Медицина в необычном;Грибанов Э.Д.;1988;Книга;Медицина;Взрослый;-
1497;Генрих Герц;Григор ьян А.Т. и др;1968;Книга;Естественные науки;Взрослый;-
1498;Во имя жизни;Гринь В.А.;1974;Книга;Медицина;Взрослый;-
1499;В мире сил тяготения;Грушинский Н.П.;1978;Книга;Естественные науки;Взрослый;-
1500;Будут жить !;Гудкова Г.;1986;Книга;История;Взрослый;-
1501;Путешествие в равноденственные области Нового Света;Гумбольт А.;1963;Книга;Естественные науки;Взрослый;-
1502;Внимание, родители : наркомания !;Гурски С.;1989;Книга;Медицина;Взрослый;-
1503;Что в имени твоем, Байкал ?;Гурулев С.А.;1991;Книга;Общественные и гуманитарные науки;Взрослый;-
1504;Дифференциальные уравнения;Гутер Р.С.;1976;Книга;Естественные науки;Взрослый;-
1505;Неунывающий Теодор;Давыдов Ю.;1986;Книга;История;Взрослый;-
1507;На пути к вершине;Дадыгин С.В.;1991;Книга; Спорт;Взрослый;-
1508;Проектирование фундаментов зданий и промышленных сооружений;Далматов Б.И.;1986;Книга;Техника;Взрослый;-
1509;Эварист Галуа;Дальма А.;1984;Книга;Естественные науки;Взрослый;-
1510;Художники;Дангулов С.И.;1987;Книга;Литературоведение;Взрослый;-
1511;Громкая тишина;Данилов Н.;1981;Книга;История;Взрослый;-
1512;На все случаи жизни;Данильченко И.Н.;1995;Книга;Техника;Взрослый;-
1513;Василь Быков;Дедков И.А.;1990;Книга;Литературоведение;Взрослый;-
1514;Теоретическая неорганическая химия;Дей М.Клайд;1969;Книга;Естественные науки;Взрослый;-
1515;Губительная сигарета;Деларю В.В.;1987;Книга;Медицина;Взрослый;-
1516;Геометрия и Марсельеза;Демьянов В.П.;1979;Книга;Естественные науки;Взрослый;-
1517;Как заставить наркомана или алкоголика лечиться;Джонсон В.;2000;Книга;Медицина;Взрослый;-
1518;Основы кибернетики;Джордж Ф.;1984;Книга;Техника;Взрослый;-
1519;Героическая молодость;Дзержинская С.В.;1981;Книга;Общественные и гуманитарные науки;Взрослый;-
1520;Теоретические основы органической химии;Днепровский А.С.;1979;Книга;Естественные науки;Взрослый;-
1521;Курс теоретической механики;Добронравов В.В.;1983;Книга;Естественные науки;Взрослый;-
1522;Минувших дней воспоминания;Долгополов М.;1977;Книга;Искусство;Взрослый;-
1523;Заседание Рейхстага объявляю открытым;Дорнеманн Л.;1980;Книга;Общественные и гуманитарные науки;Взрослый;-
1524;Четверо стойких;Драбкин Я.С.;1985;Книга;История;Взрослый;-
1525;Полет бумеранга;Дроздов Н.Н.;1988;Книга;Естественные науки;Взрослый;-
1526;Курс черчения;Дружинин Н.С.;1971;Книга;Техника;Взрослый;-
1527;Законы природы и их познание;Друянов Л.А.;1982;Книга;Естественные науки;Взрослый;-
1528;Конструирование узлов и деталей машин;Дунаев П.Ф.;1985;Книга;Техника;Взрослый;-
1529;Справочник по расчетам на микрокалькуляторах;Дьяконов В.П.;1989;Книга;Техника;Взрослый;-
1531;Фарватерами флотской службы;Егоров Г.М.;1985;Книга;Общественные и гуманитарные науки;Взрослый;-
1532;Лица и судьбы;Елисаветский Г.Д.;1988;Книга;История;Взрослый;-
1533;Хранить постоянно;Ельшин Н.;1979;Книга;История;Взрослый;-
1534;Улица - подросток- воспитатель;Еремин В.А.;1991;Книга;Педагогика;Взрослый;-
1535;Математический анализ;Ефимов А.В.;1980;Книга;Естественные науки;Взрослый;-
1536;Школьникам о телевидении;Ефимов Э.М.;1986;Книга;Культура;Взрослый;-
1537;Внутреннее строение Земли и планет;Жарков В.Н.;1978;Книга;Естественные науки;Взрослый;-
1538;Чаша пятого ангела;Жерневская И.И.;1985;Книга;Медицина;Взрослый;-
1539;Чаша пятого ангела;Жерневская И.И.;1985;Книга;Медицина;Взрослый;-
1540;Расчёт и проектирование деталей машин;Жуков П.А.;1978;Книга;Техника;Взрослый;-
1541;СССР-США;Жуков Ю.;1988;Книга;История;Взрослый;-
1542;Физическая химия;Жуховицкий А.А.;1968;Книга;Естественные науки;Взрослый;-
1543;Задачи и вопросы по химии;Зайцев О.С.;1985;Книга;Естественные науки;Взрослый;-
1544;Домашний уход за больными;Заликина Л.С.;1993;Книга;Медицина;Взрослый;-
1545;Задачник по начертательной геометрии;Засов В.Д.;1984;Книга;Естественные науки;Взрослый;-
1546;Животные, приметыи предрассудки;Заянчковский И.Ф.;1991;Книга;Религия;Взрослый;-
1547;Животный мир Земли;Зедлиг У.;1975;Книга;Естественные науки;Взрослый;-
1548;Люди науки;Зигуненко С.Н.;1987;Книга;Естественные науки;Взрослый;-
1549;Математический анализ;Зорич В.А.;1984;Книга;Естественные науки;Взрослый;-
1550;За разгадкой тайн Ледяного континента;Зотиков И.;1984;Книга;Естественные науки;Взрослый;-
1551;Все о французах;Зэлдин Т.;1989;Книга;Общественные и гуманитарные науки;Взрослый;-
1552;Единственный путь;Ибаррури Д.;1962;Книга;История;Взрослый;-
1553;Решающий поединок;Иваницкий А.В.;1981;Книга; Спорт;Взрослый;-
1554;Юрий Бондарев;Идашкин Ю.В.;1987;Книга;Литературоведение;Взрослый;-
1555;Основные законы механики;Иродов И.Е.;1978;Книга;Естественные науки;Взрослый;-
1556;Техническая термодинамика;Исаев С.И.;1981;Книга;Техника;Взрослый;-
1558;Сопротивление материалов;Ицкович Г.М.;1970;Книга;Техника;Взрослый;-
1559;Технология каменных и монтажных работ;Ищенко И.И.;1984;Книга;Техника;Взрослый;-
1560;Электричество;Калашников С.Г.;1977;Книга;Естественные науки;Взрослый;-
1561;"Автомобиль категории ""С""";Калисский В.С.;1988;Книга;Техника;Взрослый;-
1562;Курс машиностроительного черчения;Каменев В.И.;1964;Книга;Техника;Взрослый;-
1563;Жорж Кювье;Канаев И.И.;1976;Книга;Естественные науки;Взрослый;-
1564;Загадки и трагедии Арктики;Каневский З.;1991;Книга;Естественные науки;Взрослый;-
1565;Н.В. Лазарев;Капитаненко А.М.;1987;Книга;Медицина;Взрослый;-
1566;Николай Асеев;Карпов А.С.;1969;Книга;Литературоведение;Взрослый;-
1567;Сергей Вавилов;Келер В.;1961;Книга;Естественные науки;Взрослый;-
1568;Испытание детством;Кикнадзе А.В.;1984;Книга;Педагогика;Взрослый;-
1569;Колокол громкого боя;Киршнер Л.А.;1985;Книга;Общественные и гуманитарные науки;Взрослый;-
1570;"Автомобиль категории ""В""";Кленников В.М.;1985;Книга;Техника;Взрослый;-
1572;Быть или не быть инфаркту;Климов А.Н.;1981;Книга;Медицина;Взрослый;-
1573;Человек и его здоровье;Климова В.И.;1986;Книга;Медицина;Взрослый;-
1574;Неорганический синтез;Ключников Н.Г.;1983;Книга;Естественные науки;Взрослый;-
1575;Поиски и открытия;Кляус Е.М.;1986;Книга;Естественные науки;Взрослый;-
1576;Паскаль;Кляус Е.М.;1971;Книга;Естественные науки;Взрослый;-
1577;Ожирение у детей;Князев Ю.А.;1982;Книга;Медицина;Взрослый;-
1578;Леонид Леонов;Ковалев В.А.;1982;Книга;Литературоведение;Взрослый;-
1579;Память сердца;Кованов В.В.;1989;Книга;Медицина;Взрослый;-
1580;Технология машиностроения;Ковшов А.Н.;1987;Книга;Техника;Взрослый;-
1581;Жизнь - вечный взлет;Кожевникова Т. и др;1978;Книга;Техника;Взрослый;-
1582;Великий путешественник;Козлов И.В.;1985;Книга;Естественные науки;Взрослый;-
1583;"""Лесные незнакомцы"" в нашем саду";Колбасина Э.И.;1984;Книга;Сельское хозяйство;Взрослый;-
1584;Технология машиностроения;Колев К.С.;1977;Книга;Техника;Взрослый;-
1585;Элементы теории функций;Колмогоров А.Н.;1981;Книга;Естественные науки;Взрослый;-
1586;Пальмиро Тольятти;Комолова Н.П.;1983;Книга;Общественные и гуманитарные науки;Взрослый;-
1587;Загадки великого океана;Кондратов А.М.;1974;Книга;Естественные науки;Взрослый;-
1588;Долгий взгляд на Америку;Кондрашов С.;1986;Книга;Общественные и гуманитарные науки;Взрослый;-
1589;Новые овощные растения;Кононков П.Ф.;1983;Книга;Сельское хозяйство;Взрослый;-
1590;В поисках Вишневского;Кончаловская Н. ;1981;Книга;Медицина;Взрослый;-
1591;Пришло время сказать;Кореневский М.;1981;Книга;История;Взрослый;-
1592;Кио ку мицу !;Корольков Ю.;1970;Книга;История;Взрослый;-
1593;В царстве Гигии;Коростелев Н.Б.;1980;Книга;Медицина;Взрослый;-
1594;Защита сада от вредителей;Корчагин В.Н.;1965;Книга;Сельское хозяйство;Взрослый;-
1595;Почитай  летом;Костенко Г.Т.;1991;Книга;Общественные и гуманитарные науки;Взрослый;-
1596;От Гиппократа до наших дней;Котельников В.П.;1987;Книга;Медицина;Взрослый;-
1597;От Гиппократа до наших дней;Котельников В.П.;1987;Книга;Медицина;Взрослый;-
1598;Валентин Распутин. Очерк творчества;Котенко Н.Н.;1988;Книга;Литературоведение;Взрослый;-
1599;Сборник задач по начертательной геометрии;Котов И.И.;1970;Книга;Естественные науки;Взрослый;-
1600;Избранные этюды;Кофман Р.М.;1981;Книга; Спорт;Взрослый;-
1601;Практическое руководство по энзимологии;Кочетов Г.А.;1980;Книга;Естественные науки;Взрослый;-
1602;Теоретические основы неорганической химии;Крестов Г.А.;1982;Книга;Естественные науки;Взрослый;-
1603;Чонгарцы;Кривошеин С.;1975;Книга;История;Взрослый;-
1604;И это все в одной судьбе;Кривулин В.З.;1986;Книга;Общественные и гуманитарные науки;Взрослый;-
1605;Курс математического анализа;Кудрявцев Л.Д.;1988;Книга;Естественные науки;Взрослый;-
1606;Путешествие через эпохи;Кузнецов Б.;1975;Книга;Религия;Взрослый;-
1607;Металлорежущие станки и автоматы;Кузнецов М.М.;1982;Книга;Техника;Взрослый;-
1608;Детали машин;Куклин Н.Г.;1984;Книга;Техника;Взрослый;-
1609;Детали машин;Куклин Н.Г.;1979;Книга;Техника;Взрослый;-
1610;Сборник задач по общей химии;Кульман А.Г.;1975;Книга;Естественные науки;Взрослый;-
1611;Всегда на страже;Купцов И.;1986;Книга;Искусство;Взрослый;-
1612;Глазунов А.К.;Курцман А.К;1977;Книга;Искусство;Взрослый;-
1613;Игорь Железовский;Кучмий В.;1988;Книга; Спорт;Взрослый;-
1614;Мария Кюри;Кюри Е.;1973;Книга;Естественные науки;Взрослый;-
1615;Мария Кюри;Кюри Е.;1980;Книга;Естественные науки;Взрослый;-
1616;…Прирастать беде Сибирью;Лаврентьев М.;1980;Книга;Естественные науки;Взрослый;-
1617;Абразивные материалы;Лагунов Ю.Б.;1983;Книга;Техника;Взрослый;-
1618;Горизонты Южного моря;Ланге П.В.;1987;Книга;Естественные науки;Взрослый;-
1619;Эдисон;Лапиров-Скобло М.;1960;Книга;Техника;Взрослый;-
1620;Вечные березы;Лауринчюкас А.;1986;Книга;Общественные и гуманитарные науки;Взрослый;-
1621;Обреченная доля;Лебедев В.;1976;Книга;Техника;Взрослый;-
1622;Курс теории механизмов и машин;Левитская О.Н.;1978;Книга;Техника;Взрослый;-
1623;Свет- мое призвание;Левшин Л.В.;1987;Книга;Естественные науки;Взрослый;-
1624;Цебельдинская находка;Лейберов И.П.;1980;Книга;История;Взрослый;-
1625;Цебельдинская находка;Лейберов И.П.;1980;Книга;История;Взрослый;-
1626;Из города на Неве;Лемещук Г.П.;1984;Книга;Естественные науки;Взрослый;-
1627;Девицам -красавицам;Леонидова Б.;1983;Книга;Религия;Взрослый;-
1628;Экономическое эссе;Леонтьев В.В.;1990;Книга;Общественные и гуманитарные науки;Взрослый;-
1629;Тайна гибели Хамаршельда;Лесиовский В.М.;1985;Книга;История;Взрослый;-
1630;Путь, открытый взорам;Лесневский С.С.;1980;Книга;Литературоведение;Взрослый;-
1631;Береги здоровье смолоду;Лещинский Л.А.;1985;Книга;Медицина;Взрослый;-
1632;С того берега;Либединская Л.;1985;Книга;Философия;Взрослый;-
1633;Избранницы неба;Лисов И.;1990;Книга; Спорт;Взрослый;-
1634;Драматическая педагогика;Лиханов А;1986;Книга;Сельское хозяйство;Взрослый;-
1635;Драматическая педагогика;Лиханов А.;1990;Книга;Педагогика;Взрослый;-
1636;Поле брани;Лиходеев Л.;1990;Книга;Общественные и гуманитарные науки;Взрослый;-
1637;Во главе двух академий;Лозинская Л.Я.;1983;Книга;История;Взрослый;-
1638;Страна вечной зимы;Лосев К.С.;1986;Книга;Естественные науки;Взрослый;-
1639;Задачи на составление уравнений;Лурье М.В.;1980;Книга;Естественные науки;Взрослый;-
1640;Читай и говори по-английски;Лыско С.Д.;1969;Книга;Общественные и гуманитарные науки;Взрослый;-
1641;Дорога длиною в жизнь;Людников И.И.;1985;Книга;История;Взрослый;-
1642;Строительные конструкции;Маилян Р.Л.;1981;Книга;Техника;Взрослый;-
1643;Человек-дельфин;Майоль Ж.;1987;Книга;Естественные науки;Взрослый;-
1644;Д.И. Менделеев и физико-химические наук;Макареня А.А.;1977;Книга;Естественные науки;Взрослый;-
1645;Менделеев в Петербурге;Макареня А.А.;1982;Книга;Естественные науки;Взрослый;-
1646;Тени в море;Мак-Кормик Г.;1992;Книга;Естественные науки;Взрослый;-
1647;Дороже всякого золота;Малевинский Ю.;1980;Книга;Техника;Взрослый;-
1648;Справочник технолога приборостроителя;Малов А.Н.;1980;Книга;Техника;Взрослый;-
1649;Бук;Мальцев М.П.;1980;Книга;Сельское хозяйство;Взрослый;-
1650;Великие химики;Манолов К. т.2;1985;Книга;Естественные науки;Взрослый;-
1651;Великие химики;Манолов К.т.1;1986;Книга;Естественные науки;Взрослый;-
1652;Двенадцать ледовых месяцев;Мартыненко Ю.М.;1978;Книга;Естественные науки;Взрослый;-
1653;Детали машин;Мархель И.И.;1986;Книга;Техника;Взрослый;-
1654;Остров Тимбукту;Марчевский М.;1984;Книга;Естественные науки;Взрослый;-
1655;Теория механизмов и машин;Машнев М.М.;1980;Книга;Техника;Взрослый;-
1656;Физика в задачах;Меледин Г.В. ;1989;Книга;Естественные науки;Взрослый;-
1657;В мире ориентиров;Меньчуков А.Е.;1966;Книга;Естественные науки;Взрослый;-
1658;Так это было;Мержанов М.;1983;Книга;История;Взрослый;-
1659;Задачник по машиностроительному черчению;Мерзон Э.Д.;1972;Книга;Техника;Взрослый;-
1660;Задачник по машиностроительному черчению;Мерзон Э.Д.;1972;Книга;Техника;Взрослый;-
1661;Природные зоны СССР;Мильков Ф.Н.;1977;Книга;Естественные науки;Взрослый;-
1662;И подымется рука…;Миндлин Э.;1973;Книга;Техника;Взрослый;-
1663;Изобилие в огороде;Миттлайдер Дж.;1993;Книга;Сельское хозяйство;Взрослый;-
1664;Основы расчета элементов строительных конструкций в примерах;Михайлов А.М. ;1986;Книга;Техника;Взрослый;-
1665;Устройство автомобиля;Михайловский Е.В.;1987;Книга;Техника;Взрослый;-
1666;Устройство автомобиля;Михайловский Е.В.;1981;Книга;Техника;Взрослый;-
1667;И.В. Бабушкин;Мишкевич Г.И.;1988;Книга;Общественные и гуманитарные науки;Взрослый;-
1668;Молодость Сеченова;Могилевский Б.;1962;Книга;Медицина;Взрослый;-
1669;Техническое черчение;Могильный И.М.;1966;Книга;Техника;Взрослый;-
1670;Письма из Сахары;Моравиа А.;1987;Книга;Естественные науки;Взрослый;-
1671;Жизнь Александра Флеминга;Моруа А.;1961;Книга;Медицина;Взрослый;-
1672;Жизнь Александра Флеминга;Моруа А.;1964;Книга;Медицина;Взрослый;-
1673;Страна штормов и туманов;Моусон Д.;1970;Книга;Естественные науки;Взрослый;-
1674;Нильс Бор - человек и ученый;Мур Р.;1969;Книга;Естественные науки;Взрослый;-
1675;Белый ворон и райские птицы;Муцетони В.М.;1987;Книга;Естественные науки;Взрослый;-
1676;Большевик Г.Г.Маркин;Назаров А.Ф.;1987;Книга;История;Взрослый;-
1677;Десять тысяч шагов к здоровью;Найдин В.Л.;1978;Книга;Медицина;Взрослый;-
1678;Техническая механика;Народецкая М.Э.;1982;Книга;Техника;Взрослый;-
1679;Слоны и другие гиганты суши;Нейпье П.;1983;Книга;Естественные науки;Взрослый;-
1680;Зигберт Тарраш;Нейштадт Я.И.;1983;Книга; Спорт;Взрослый;-
1681;Наши верные друзья;Немонов Н.Н.;1974;Книга;Сельское хозяйство;Взрослый;-
1682;Задачи вступительных экзаменов по математике;Нестеренко Ю.В.;1983;Книга;Естественные науки;Взрослый;-
1683;День, прожитый дважды;Никитин А.Л.;1985;Книга;Естественные науки;Взрослый;-
1684;Теоретическая механика;Никитин Е.М.;1983;Книга;Естественные науки;Взрослый;-
1685;Радиоматериалы и радиокомпоненты;Никулин Н.В.;1986;Книга;Техника;Взрослый;-
1686;Декоративные собаки;Никулина Т.Н.;1987;Книга;Сельское хозяйство;Взрослый;-
1687;Декоративные собаки;Никулина Т.Н.;1989;Книга;Сельское хозяйство;Взрослый;-
1688;Вера Панова;Нинов А.А.;1980;Книга;Литературоведение;Взрослый;-
1689;Готовность одна минута !;Новиков Н.Ф.;1984;Книга;Техника;Взрослый;-
1690;Нет чужих среди людей;Норт Дж.;1983;Книга;История;Взрослый;-
1691;Е.И. Золотарев;Ожигова Е.П.;1966;Книга;Естественные науки;Взрослый;-
1692;Руководитель;Омаров А.М.;1987;Книга;Общественные и гуманитарные науки;Взрослый;-
1693;Таблицы умножения;О'Рурк;1974;Книга;Естественные науки;Взрослый;-
1694;Река рождается ручьями;Осипов В.;1971;Книга;Техника;Взрослый;-
1695;Река рождается ручьями;Осипов В.;1978;Книга;Техника;Взрослый;-
1696;Мои друзья медведи;Пажетнов В.С. ;1985;Книга;Естественные науки;Взрослый;-
1697;Что делать ?;Паникин А.;1998;Книга;Общественные и гуманитарные науки;Взрослый;-
1698;"С ""Джу"" через Тихий океан";Папазов Д.;1982;Книга;Естественные науки;Взрослый;-
1699;Считайте деньги !;Паркинсон С.и др.;1991;Книга;Общественные и гуманитарные науки;Взрослый;-
1700;Электричество и магнетизм;Парселл Э.;1971;Книга;Естественные науки;Взрослый;-
1701;Электричество и магнетизм;Парселл Э.;1975;Книга;Естественные науки;Взрослый;-
1702;В погоне за тайной века;Пасецкий В.;1967;Книга;Естественные науки;Взрослый;-
1703;Очарованный надеждой;Пасецкий В.М.;1970;Книга;Естественные науки;Взрослый;-
1704;И.Ф. Крузенштерн;Пасецкий В.М.;1974;Книга;Естественные науки;Взрослый;-
1705;Монолог после аплодисментов;Пахомова Л.А.;1988;Книга;Спорт;Взрослый;-
1706;Во вред здоровью, семье, потомству;Пащенков С.;1984;Книга;Медицина;Взрослый;-
1707;Говарите по немецки;Пепеляева К.А.;1968;Книга;Общественные и гуманитарные науки;Взрослый;-
1708;Органическая химия;Перекалин В.В.;1982;Книга;Естественные науки;Взрослый;-
1709;Птицы на проводах;Песков В.;1982;Книга;Естественные науки;Взрослый;-
1710;Конькобежный спорт;Петров Н.И.;1975;Книга;Спорт;Взрослый;-
1711;Сфинксы ХХ века;Петров Р.;1967;Книга;Медицина;Взрослый;-
1712;Дикорастущие плоды и ягоды;Петрова В.П.;1987;Книга;Сельское хозяйство;Взрослый;-
1713;Дифференциальное интегральное исчисление т.2;Пискунов Н.С.;1978;Книга;Естественные науки;Взрослый;-
1714;К берегу мужчин;Плеханов В.Ф.;1990;Книга;История;Взрослый;-
1715;Даниил Гранин;Плоткин Л.А.;1975;Книга;Литературоведение;Взрослый;-
1716;Сборник задач по математике;Подольский В.А.;1978;Книга;Естественные науки;Взрослый;-
1717;Песенное сердце;Поликанов А.А.;1976;Книга;Литературоведение;Взрослый;-
1718;Эмиль Борель;Полищук Е.М.;1980;Книга;Естественные науки;Взрослый;-
1719;Вито Вольтерра;Полищук Е.М.;1977;Книга;Естественные науки;Взрослый;-
1720;Дети на отдыхе;Поломис К.;1995;Книга;Педагогика;Взрослый;-
1721;Рождение варианта;Полугаевский Л.А.;1977;Книга;Спорт;Взрослый;-
1722;"Автомобиль ""запорожец"" специальные агрегаты и оборудование";Поляк Д.Г.;1981;Книга;Техника;Взрослый;-
1723;"""Кожаный мяч""";Поляков Б.;1966;Книга;Спорт;Взрослый;-
1724;Ферми в воспоминаниях учеников и друзей;Понтекорво Б.;1972;Книга;Естественные науки;Взрослый;-
1725;Ферми в воспоминаниях учеников и друзей;Понтекорво Б.;1972;Книга;Естественные науки;Взрослый;-
1726;Загадки речного русла;Попов И.В.;1977;Книга;Естественные науки;Взрослый;-
1727;Их в разведку водила Лёля;Пороженко Г.Б.;1986;Книга;История;Взрослый;-
1728;Краткий курс начертательной геометрии;Посвянский А.Д.;1974;Книга;Естественные науки;Взрослый;-
1729;Алгебра и анализ элементарных функций;Потапов М.К.;1980;Книга;Естественные науки;Взрослый;-
1730;И снова уйдут корабли;Почивалов Л.;1987;Книга;Естественные науки;Взрослый;-
1731;Несущие ветер;Прайор К.;1981;Книга;Естественные науки;Взрослый;-
1732;Несущие ветер;Прайор К.;1981;Книга;Естественные науки;Взрослый;-
1733;Практикум по выбору профессии;Прощицкая Е.Н.;1995;Книга;Педагогика;Взрослый;-
1734;Рыцари истины;Пузиков А.И.;1986;Книга;Литературоведение;Взрослый;-
